Type,Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
Home Stay Units,MANGO VILLA,"NO-13/129, 3RD LANE, CHANDRA WETTASINGHE MAWATHA, NAWALA, KOSWATTA.",3,DELUXE,Colombo,Colombo,Colombo Divisional Secretariat,79.897213,6.896087
Home Stay Units,NATURE PARADISE,"ETHULGASHINNA,KITHAL-ELLA,ELLA",2,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.083528,6.861187
Home Stay Units,PADDY FIELD VIEW,"""SAMAN"",WELLAWAYA ROAD,ELLA",5,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.095229,6.867295
Home Stay Units,THE ONE STAR HOME STAY,"ETHIMALE GEDARA,KITHAL-ELLA,ELLA",1,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.042423,6.870513
Home Stay Units,7TH HILL,"KIRIMETIYA GEDARA,KITHAL-ELLA,ELLA",3,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.04003,6.868833
Home Stay Units,VILLAGE VIEW HOME STAY,"ETHULGASHINNA,KITHAL-ELLA,ELLA",3,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.04545,6.871314
Home Stay Units,SUNRAY HOME STAY,"""SAMAN"" WELLAWAYA ROAD,ELLA",2,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.046012,6.870202
Home Stay Units,AVINKA VILLA,"WALPOLAWATHTHA, TALPE NORTH, UNAWATUNA",3,STANDARD,Galle,Akmeemana,Akmeemana Divisional Secretariat,80.278126,6.000995
Home Stay Units,ELLA FINALGATE,"DIYAMADITHTHA,KITHAL-ELLA,ELLA",3,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL
Home Stay Units,MORNING LIGHT,"WATAGODAWATTA,KITHAL-ELLA,ELLA",1,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.044952,6.869198
Home Stay Units,REVERIE HILL BUNGALOW,"40/8D, HILPANKADURA MAWATHA, KANDY",2,SUPERIOR,Kandy,Kandy,Gagawata,80.654138,7.277513
Home Stay Units,EAGLE LODGE,"EAGLE LODGE, VICTORIA GOLF RESORT, DIGANA",4,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,80.7742644,7.2650791
Home Stay Units,TRAVELLERS HOME,"538 (67/11), GOHAGODA ROAD, KATUGASTOTA",2,STANDARD,Kandy,Harispattuwa Pradeshiya Sabha,Harispattuwa Divisional Secretariat,80.623502,7.315674
Home Stay Units,THE CITY HIDEOUT,"NO 475/19, LAKE CRESCENT, RAJAGIRIYA",5,STANDARD,Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat,79.888422,6.909424
Home Stay Units,HARITHA COTTAGE,"60/Q/3 LUMBINI GARDENS LUMBINI MAWATHA,DALUGAMA,KELANIYA",2,SUPERIOR,Gampaha,Kelaniya Pradeshiya Sabha,Mahara Divisional Secretariat,79.919137,6.975736
Home Stay Units,LOVE IS SWEET COTTAGE,"""SAMANSIRI"" ETHIMALE,KITHAL-ELLA,ELLA",1,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.044138,6.86269
Home Stay Units,DAWN VIEW HOMESTAY,"ELLA WATERFALL ROAD,ELLA",2,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.052249,6.881556
